month,name,age,description,image,link
5,Fernando Sobral,62,"Jornalista e escritor, autor de <em>A Grande Dama do Chá</em>",https://imagens.publico.pt/imagens.aspx/1696185?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/14/culturaipsilon/noticia/morreu-escritor-jornalista-fernando-sobral-2006199
5,Fred Ward,79,"Actor e produtor, vencedor de um Globo de Ouro",https://imagens.publico.pt/imagens.aspx/1696217?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/14/culturaipsilon/noticia/morreu-actor-norteamericano-fred-ward-2006211
5,Vangelis,79,Pioneiro da música electrónica,https://imagens.publico.pt/imagens.aspx/1697779?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/19/culturaipsilon/noticia/morreu-compositor-grego-vangelis-2006899
5,Leonid Kravchuk,88,Pai da Ucrânia e coveiro da União Soviética,https://imagens.publico.pt/imagens.aspx/1698423?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/22/mundo/noticia/leonid-kravchuk-19342022-pai-ucrania-coveiro-uniao-sovietica-2007101
5,Colin Cantwell,90,Autor da Estrela da Morte e dos X-wing ,https://imagens.publico.pt/imagens.aspx/1698705?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/23/culturaipsilon/noticia/morreu-colin-cantwell-desenhou-naves-emblematicas-star-wars-ajudou-moldar-2001-odisseia-espaco-2007268
5,Ray Liotta,67,Actor intenso e carismático em <em>Tudo Bons Rapazes</em>,https://imagens.publico.pt/imagens.aspx/1700262?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/26/culturaipsilon/noticia/morreu-ray-liotta-actor-bons-rapazes-2007829
5,Alan White,72,Baterista da banda britânica de rock progressivo Yes,https://imagens.publico.pt/imagens.aspx/1700361?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/26/culturaipsilon/noticia/morreu-baterista-yes-alan-white-72-anos-2007862
5,Andrew Fletcher,60,Teclista e co-fundador dos Depeche Mode,https://imagens.publico.pt/imagens.aspx/1700362?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/26/culturaipsilon/noticia/morreu-andrew-fletcher-teclista-cofundador-depeche-mode-2007864
5,Mário Mesquita,72,O professor a quem todos chamavam “jornalista”,https://imagens.publico.pt/imagens.aspx/1700506?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/27/sociedade/noticia/morreu-mario-mesquita-vicepresidente-conselho-regulador-erc-2007945
5,Ouka Leele,64,A fotógrafa que não se levava demasiado a sério,https://imagens.publico.pt/imagens.aspx/1700960?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/29/culturaipsilon/noticia/ouka-leele-19572022-fotografa-nao-levava-demasiado-serio-2008088
5,Angelo Sodano,94,Cardeal italiano que dominou o aparelho de Estado do Vaticano,https://imagens.publico.pt/imagens.aspx/1703111?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/06/05/mundo/noticia/angelo-sodano-19272022-poderoso-cardeal-abusos-apenas-mexericos-mesquinhos-2008951
5,Evaristo Carvalho,80,Ex-Presidente de São Tomé e Príncipe,https://imagens.publico.pt/imagens.aspx/1701065?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/29/mundo/noticia/morreu-evaristo-carvalho-expresidente-sao-tome-principe-2008111
6,Paula Rego,87,A mulher para quem a pintura vinha sempre primeiro,https://imagens.publico.pt/imagens.aspx/1703994?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/06/08/culturaipsilon/noticia/morreu-paula-rego-mulher-pintura-vinha-2009365
6,Fernando Pinto Monteiro,80,Antigo procurador-geral da República,https://imagens.publico.pt/imagens.aspx/1704060?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/06/08/sociedade/noticia/morreu-pinto-monteiro-procuradorgeral-republica-nao-gostava-rainha-inglaterra-2009394
6,Julee Cruise,65,A voz do mistério de <em>Twin Peaks</em>,https://imagens.publico.pt/imagens.aspx/1704840?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/06/10/culturaipsilon/noticia/morreu-julee-cruise-voz-misterio-twin-peaks-2009648
6,Mar de Marchis,54,O fantasma mais admirado da imprensa espanhola,https://imagens.publico.pt/imagens.aspx/1704944?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/06/12/culturaipsilon/noticia/mar-marchis-19682022-fantasma-admirado-imprensa-espanhola-2009575
6,Armando Pereira da Silva,81,"Jornalista, integrou o Conselho Geral da Casa da Imprensa",https://imagens.publico.pt/imagens.aspx/1705625?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/06/14/sociedade/noticia/ultimo-adeus-jornalista-armando-pereira-silva-morreu-81-anos-2009969
